user_id,products,reviews
13118815,732,38
13750164,363,75
13975157,196,37
14018232,426,17
14171570,88,16
217958,978,20
774672,335,35
1107577,245,35
1266847,193,55
1422606,1252,55
1567315,276,74
1568142,792,96
1581525,165,20
1820699,782,53
2228682,474,16
2491352,131,21
2518072,646,87
2602097,512,33
2786557,4005,347
2812544,283,16
2828816,537,89
2843690,1131,80
2881973,364,18
2966989,229,57
3025670,530,47
3117931,558,36
3155771,300,27
3536249,144,50
3574319,97,15
3652312,147,29
3704779,383,34
3818255,1308,298
3837197,204,23
4059707,290,61
4102641,114,23
4193685,253,24
4268215,425,212
4299055,151,11
4333867,91,14
4385236,122,22
4520264,218,18
4550585,272,34
4565165,579,279
4698172,229,40
5117018,546,429
5183290,368,10
5278080,83,38
5278613,933,84
5308872,105,21
5312013,219,27
5345714,2336,273
5402093,256,54
5409313,460,59
5426046,322,37
5436669,155,25
5451339,729,85
5489979,149,31
5546286,98,35
5553676,105,12
5556708,234,45
5626143,116,12
5716440,361,89
5721760,335,37
5776567,449,154
5786103,165,20
5846210,136,19
5962317,197,26
5964251,166,24
5973583,239,36
6022412,138,31
6136407,111,35
6175200,782,341
6302634,287,158
6314049,195,46
6314486,87,18
6408367,352,83
6434600,1123,478
6473828,287,64
6621518,130,19
6631639,280,55
6680996,999,138
6845279,223,41
6935257,390,167
6947737,294,27
6968287,380,66
7023105,237,34
7042875,417,234
7196086,87,36
7198254,129,12
7212054,232,18
7214998,123,12
7229498,280,21
7267551,209,31
7302702,253,112
7338668,270,37
7343358,387,101
7389406,779,45
7408352,106,29
7461112,147,21
7470331,118,30
7485545,132,23
7504805,249,35
7507137,220,41
7588353,280,28
7592934,174,38
7659261,1015,334
7683215,94,13
7692470,531,27
7778057,216,32
7798208,325,40
7844119,384,110
7874337,141,13
7992680,382,24
8098773,110,30
8127809,124,54
8211799,159,53
8247178,164,16
8254059,2511,34
8346981,279,173
8367954,407,106
8392510,230,34
8434966,88,15
8483632,404,25
8488486,774,78
8521156,1620,45
8541742,103,33
8578135,142,50
8741049,85,14
8805597,280,23
8899909,78,13
8924893,380,42
8942372,2472,23
8982265,49,10
9040718,623,109
9069980,131,12
9117678,160,40
9140330,358,57
9243416,141,15
9311603,67,30
9384090,144,42
9393862,71,24
9473422,95,11
9603620,199,39
9608058,88,42
9624161,271,40
9709367,294,33
9716355,223,74
9810460,143,36
9855637,104,31
9874486,215,29
9891789,168,37
9947362,150,16
9954135,285,45
9968467,139,96
9991773,149,38
10012949,207,19
10016727,1382,277
10050351,185,28
10101853,275,136
10217163,203,44
10321468,1790,14
10324622,122,24
10333299,138,17
10346562,124,36
10353758,305,66
10510822,121,20
10522380,116,19
10524546,64,14
10564596,196,22
10589029,177,28
10674132,835,37
10788463,133,21
10822174,466,80
10856592,109,32
10892058,177,16
10955936,108,15
11045599,178,16
11082044,171,22
11154497,70,24
12249112,477,21
12249530,84,11
12347116,223,36
12367596,96,21
12385664,82,19
12400781,231,61
12405550,65,24
12537494,76,23
12547203,46,15
12653770,186,209
12727752,110,11
12759575,476,43
12767690,205,14
12798590,461,14
12850364,11,10
12858545,1185,63
12990349,90,16
13048448,45,20
13142904,1125,23
13226392,54,14
13311084,44,12
13312063,76,33
13343785,166,12
13392728,366,13
13436302,111,47
13438713,673,24
13480294,64,33
13553165,132,20
13589395,210,12
13716169,144,49
13737368,204,57
13778384,20,25
13787403,61,28
13802970,96,20
13850163,97,25
14027427,104,17
14146336,147,35
14304042,309,33
35503,48,11
178677,126,68
191692,172,18
215341,30,22
293665,137,13
322496,50,10
371956,131,30
401379,105,16
475944,113,20
481073,67,11
503705,81,12
518297,112,17
524282,62,19
562711,127,22
576751,36,10
584675,175,58
599536,63,25
604440,157,16
640207,142,28
641516,191,25
643426,29,10
683170,53,13
718971,952,81
765928,154,22
781261,99,17
812985,236,39
879445,53,45
957455,193,51
975672,67,12
1015758,553,40
1078411,128,35
1109512,118,14
1151799,34,16
1264117,91,20
1276915,107,21
1324354,245,23
1417841,22,13
1418394,55,13
1419188,68,17
1445019,509,66
